#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Sun Oct  6 02:08:03 EDT 2019.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20191001,-72.5,45.3,1
20191001,-72.4,45.3,1
20191001,-72.3,45.3,1
20191001,-72.2,45.3,1
20191001,-72.1,45.3,2
20191001,-71.6,45.3,1
20191001,-93,45.4,8
20191001,-82,45.4,3
20191001,-80,45.4,1
20191001,-78,45.4,1
20191001,-77,45.4,4
20191001,-74,45.4,6
20191001,-73,45.4,4
20191001,-93.2,45.4,4
20191001,-93.1,45.4,6
20191001,-92.9,45.4,2
20191001,-92.8,45.4,2
20191001,-89.3,45.4,1
20191001,-89.2,45.4,2
20191001,-87.9,45.4,1
20191001,-87.8,45.4,1
20191001,-87.7,45.4,3
20191001,-87.6,45.4,1
20191001,-76.5,17,1
20191001,-76.4,17,1
20191001,-76.3,17,8
20191001,-76.1,17,1
20191001,-75.8,17,9
20191001,-75.7,17,11
20191001,-75.6,17,2
20191001,-79,18,2
